,Drug use disorders,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
2416,"Charles Mix County, South Dakota",46023,"0.60 (0.25, 1.23)","0.67 (0.28, 1.33)","0.86 (0.37, 1.76)","1.16 (0.49, 2.34)","1.92 (0.88, 3.70)","3.38 (1.56, 6.16)","4.10 (1.96, 7.07)","3.93 (1.79, 7.05)","550.60 (192.19, 1363.64)"
2417,"Clark County, South Dakota",46025,"0.43 (0.19, 0.88)","0.50 (0.21, 0.99)","0.64 (0.28, 1.28)","0.87 (0.38, 1.72)","1.41 (0.64, 2.69)","2.45 (1.14, 4.53)","2.98 (1.42, 5.18)","2.94 (1.31, 5.38)","582.14 (188.58, 1408.82)"
2418,"Clay County, South Dakota",46027,"0.35 (0.13, 0.70)","0.40 (0.15, 0.84)","0.52 (0.19, 1.04)","0.68 (0.25, 1.33)","1.17 (0.50, 2.27)","2.19 (0.95, 4.22)","2.71 (1.21, 4.89)","2.67 (1.12, 4.81)","651.77 (227.76, 1571.59)"
2419,"Codington County, South Dakota",46029,"0.46 (0.21, 0.85)","0.51 (0.24, 0.97)","0.66 (0.31, 1.20)","0.88 (0.42, 1.56)","1.49 (0.79, 2.50)","2.57 (1.45, 4.01)","3.24 (1.86, 5.10)","3.10 (1.67, 5.08)","570.82 (196.25, 1557.84)"
2420,"Corson County, South Dakota",46031,"0.72 (0.28, 1.41)","0.90 (0.37, 1.85)","1.25 (0.49, 2.42)","1.81 (0.77, 3.54)","3.37 (1.34, 6.58)","6.32 (2.96, 11.85)","7.67 (3.31, 13.96)","8.15 (3.60, 15.18)","1028.53 (338.59, 2902.83)"
2421,"Custer County, South Dakota",46033,"0.64 (0.29, 1.20)","0.82 (0.41, 1.45)","1.12 (0.59, 1.95)","1.55 (0.84, 2.63)","2.59 (1.47, 4.39)","4.45 (2.64, 7.05)","5.65 (3.43, 8.66)","5.97 (3.58, 9.43)","828.40 (353.34, 1995.90)"
2422,"Davison County, South Dakota",46035,"0.45 (0.19, 0.90)","0.51 (0.24, 0.95)","0.65 (0.30, 1.23)","0.86 (0.42, 1.55)","1.44 (0.74, 2.41)","2.45 (1.33, 4.07)","3.27 (1.71, 5.34)","3.39 (1.70, 5.58)","646.47 (231.95, 1722.74)"
2423,"Day County, South Dakota",46037,"0.42 (0.17, 0.83)","0.49 (0.23, 0.93)","0.62 (0.28, 1.17)","0.85 (0.37, 1.68)","1.38 (0.62, 2.60)","2.48 (1.11, 4.49)","3.22 (1.47, 5.95)","3.10 (1.31, 5.66)","639.16 (208.90, 1725.33)"
2424,"Deuel County, South Dakota",46039,"0.43 (0.19, 0.85)","0.48 (0.22, 0.95)","0.68 (0.32, 1.35)","0.85 (0.40, 1.58)","1.31 (0.60, 2.50)","2.27 (1.14, 3.96)","2.77 (1.36, 4.80)","2.73 (1.22, 5.00)","542.20 (174.22, 1365.66)"
2425,"Dewey County, South Dakota",46041,"0.50 (0.19, 1.09)","0.60 (0.24, 1.26)","0.83 (0.30, 1.73)","1.20 (0.49, 2.32)","2.19 (0.94, 4.40)","4.23 (1.82, 8.01)","5.90 (2.57, 11.40)","6.13 (2.41, 12.04)","1127.40 (363.64, 3303.41)"
2426,"Douglas County, South Dakota",46043,"0.45 (0.16, 1.04)","0.48 (0.17, 1.00)","0.59 (0.22, 1.23)","0.77 (0.27, 1.62)","1.23 (0.49, 2.64)","2.18 (0.89, 4.31)","2.53 (1.04, 5.26)","2.42 (0.95, 5.19)","434.97 (114.29, 1338.30)"
2427,"Edmunds County, South Dakota",46045,"0.39 (0.16, 0.84)","0.42 (0.18, 0.87)","0.53 (0.21, 1.10)","0.69 (0.28, 1.46)","1.09 (0.43, 2.21)","1.87 (0.80, 3.58)","2.22 (0.90, 4.34)","2.12 (0.78, 4.43)","441.79 (104.02, 1247.68)"
2428,"Fall River County, South Dakota",46047,"1.03 (0.48, 1.89)","1.34 (0.67, 2.37)","2.11 (1.10, 3.74)","2.99 (1.59, 5.09)","5.04 (2.90, 7.91)","9.61 (5.96, 14.57)","11.15 (6.84, 16.43)","11.68 (6.91, 17.61)","1035.08 (461.84, 2353.49)"
2429,"Faulk County, South Dakota",46049,"0.46 (0.20, 0.91)","0.51 (0.21, 1.08)","0.66 (0.28, 1.32)","0.89 (0.36, 1.88)","1.42 (0.61, 2.86)","2.44 (1.11, 4.89)","2.85 (1.28, 5.42)","2.81 (1.21, 5.45)","508.47 (163.03, 1407.15)"
2430,"Grant County, South Dakota",46051,"0.38 (0.17, 0.74)","0.43 (0.20, 0.79)","0.57 (0.26, 1.08)","0.77 (0.37, 1.45)","1.27 (0.61, 2.21)","2.20 (1.11, 3.85)","2.82 (1.43, 4.77)","2.73 (1.23, 5.05)","616.64 (218.09, 1595.89)"
2431,"Gregory County, South Dakota",46053,"0.62 (0.24, 1.28)","0.69 (0.29, 1.41)","0.90 (0.37, 1.83)","1.22 (0.53, 2.48)","2.05 (0.87, 3.98)","3.40 (1.61, 6.21)","4.19 (1.91, 7.53)","4.14 (1.90, 7.63)","571.46 (183.06, 1462.95)"
2432,"Haakon County, South Dakota",46055,"0.41 (0.15, 0.86)","0.47 (0.20, 1.01)","0.62 (0.24, 1.29)","0.90 (0.34, 1.87)","1.47 (0.57, 3.05)","2.59 (1.18, 4.87)","3.22 (1.40, 5.98)","3.25 (1.39, 6.03)","692.90 (261.10, 1706.35)"
2433,"Hamlin County, South Dakota",46057,"0.52 (0.21, 1.11)","0.57 (0.24, 1.22)","0.77 (0.30, 1.63)","1.04 (0.41, 2.03)","1.65 (0.67, 3.37)","2.89 (1.28, 5.66)","3.46 (1.43, 6.75)","3.53 (1.47, 6.64)","581.73 (148.91, 1686.21)"
2434,"Hand County, South Dakota",46059,"0.49 (0.19, 1.00)","0.56 (0.25, 1.11)","0.71 (0.31, 1.40)","0.98 (0.44, 1.91)","1.49 (0.69, 2.79)","2.53 (1.22, 4.44)","3.12 (1.51, 5.46)","3.15 (1.49, 5.69)","536.62 (195.38, 1492.76)"
2435,"Hanson County, South Dakota",46061,"0.35 (0.14, 0.74)","0.40 (0.16, 0.82)","0.49 (0.19, 1.02)","0.67 (0.27, 1.37)","1.14 (0.44, 2.21)","2.03 (0.87, 3.81)","2.49 (1.04, 4.65)","2.50 (0.98, 4.94)","608.59 (192.57, 1616.59)"
2436,"Harding County, South Dakota",46063,"0.38 (0.15, 0.82)","0.45 (0.18, 0.93)","0.61 (0.25, 1.25)","0.89 (0.37, 1.89)","1.55 (0.65, 3.05)","2.84 (1.31, 5.41)","3.57 (1.66, 6.94)","3.55 (1.52, 6.68)","825.63 (281.89, 2054.20)"
2437,"Hughes County, South Dakota",46065,"0.38 (0.14, 0.75)","0.43 (0.18, 0.88)","0.56 (0.24, 1.08)","0.73 (0.32, 1.36)","1.23 (0.59, 2.22)","2.32 (1.17, 3.86)","2.96 (1.44, 5.08)","3.09 (1.41, 5.36)","723.36 (245.00, 2025.01)"
2438,"Hutchinson County, South Dakota",46067,"0.42 (0.19, 0.80)","0.46 (0.22, 0.88)","0.59 (0.28, 1.03)","0.77 (0.36, 1.38)","1.28 (0.59, 2.32)","2.22 (1.13, 3.87)","2.81 (1.38, 4.71)","2.71 (1.26, 4.84)","549.33 (182.87, 1451.21)"
2439,"Hyde County, South Dakota",46069,"0.38 (0.16, 0.80)","0.43 (0.18, 0.94)","0.59 (0.25, 1.22)","0.79 (0.35, 1.72)","1.30 (0.56, 2.57)","2.38 (1.04, 4.45)","3.02 (1.42, 5.57)","2.75 (1.19, 5.31)","624.83 (208.79, 1619.00)"
2440,"Jackson County, South Dakota",46071,"0.50 (0.19, 1.07)","0.64 (0.26, 1.28)","0.87 (0.34, 1.80)","1.25 (0.51, 2.53)","2.18 (0.95, 4.21)","4.12 (1.90, 7.51)","5.28 (2.32, 9.51)","5.26 (2.25, 9.95)","945.21 (303.57, 2550.88)"
2441,"Jerauld County, South Dakota",46073,"0.53 (0.23, 1.09)","0.61 (0.26, 1.25)","0.83 (0.34, 1.65)","1.15 (0.47, 2.38)","1.86 (0.83, 3.53)","3.22 (1.52, 5.81)","4.09 (1.86, 7.30)","3.87 (1.60, 7.18)","630.45 (188.30, 1615.13)"
2442,"Jones County, South Dakota",46075,"0.46 (0.17, 1.01)","0.55 (0.19, 1.27)","0.75 (0.23, 1.76)","1.03 (0.35, 2.23)","1.73 (0.57, 3.94)","3.07 (1.13, 6.56)","3.83 (1.49, 7.98)","3.64 (1.21, 8.04)","689.15 (204.54, 1840.20)"
2443,"Kingsbury County, South Dakota",46077,"0.40 (0.17, 0.76)","0.42 (0.18, 0.80)","0.53 (0.22, 0.98)","0.71 (0.32, 1.30)","1.17 (0.54, 2.22)","2.03 (0.97, 3.65)","2.41 (1.14, 4.36)","2.34 (1.04, 4.35)","488.50 (133.20, 1292.70)"
2444,"Lake County, South Dakota",46079,"0.32 (0.14, 0.66)","0.36 (0.16, 0.66)","0.45 (0.21, 0.87)","0.59 (0.27, 1.11)","1.01 (0.49, 1.85)","1.80 (0.93, 3.13)","2.33 (1.20, 4.07)","2.33 (1.11, 4.19)","619.68 (211.82, 1699.03)"
2445,"Lawrence County, South Dakota",46081,"0.62 (0.30, 1.12)","0.73 (0.38, 1.28)","0.98 (0.51, 1.73)","1.29 (0.71, 2.09)","2.20 (1.30, 3.43)","3.69 (2.37, 5.51)","4.54 (2.82, 6.60)","4.99 (3.07, 7.29)","707.96 (305.01, 1697.13)"
2446,"Lincoln County, South Dakota",46083,"0.31 (0.15, 0.58)","0.35 (0.17, 0.67)","0.44 (0.22, 0.81)","0.57 (0.28, 1.01)","0.91 (0.48, 1.52)","1.60 (0.90, 2.66)","2.03 (1.13, 3.19)","1.98 (1.12, 3.23)","533.28 (200.86, 1177.01)"
2447,"Lyman County, South Dakota",46085,"0.46 (0.19, 0.92)","0.55 (0.24, 1.09)","0.78 (0.32, 1.55)","1.05 (0.42, 2.06)","1.86 (0.84, 3.61)","3.49 (1.61, 6.65)","4.30 (1.98, 7.84)","4.38 (1.83, 8.56)","849.57 (289.67, 2180.97)"
2448,"Marshall County, South Dakota",46091,"0.40 (0.17, 0.79)","0.45 (0.19, 0.87)","0.58 (0.24, 1.18)","0.80 (0.33, 1.64)","1.30 (0.53, 2.51)","2.39 (1.02, 4.42)","3.08 (1.36, 5.60)","2.85 (1.14, 5.40)","621.47 (204.62, 1595.57)"
2449,"McCook County, South Dakota",46087,"0.36 (0.16, 0.74)","0.40 (0.18, 0.80)","0.51 (0.22, 1.01)","0.69 (0.30, 1.37)","1.12 (0.50, 2.18)","2.06 (0.94, 3.87)","2.69 (1.29, 5.10)","2.61 (1.14, 5.12)","618.21 (196.94, 1603.17)"
2450,"McPherson County, South Dakota",46089,"0.44 (0.17, 0.87)","0.46 (0.19, 0.96)","0.56 (0.23, 1.15)","0.77 (0.32, 1.51)","1.20 (0.49, 2.37)","2.00 (0.85, 3.67)","2.33 (1.01, 4.21)","2.28 (0.94, 4.53)","423.26 (112.23, 1216.63)"
2451,"Meade County, South Dakota",46093,"0.51 (0.23, 0.97)","0.63 (0.30, 1.12)","0.99 (0.47, 1.87)","1.41 (0.75, 2.41)","2.23 (1.20, 3.55)","4.09 (2.33, 6.33)","5.05 (3.05, 7.46)","4.92 (2.87, 7.38)","868.51 (341.10, 2223.76)"
2452,"Mellette County, South Dakota",46095,"0.56 (0.19, 1.26)","0.65 (0.25, 1.45)","0.90 (0.32, 1.93)","1.31 (0.46, 2.96)","2.26 (0.80, 4.94)","4.02 (1.49, 8.36)","5.48 (1.92, 11.54)","5.39 (2.03, 11.55)","855.73 (276.82, 2522.92)"
2453,"Miner County, South Dakota",46097,"0.43 (0.17, 0.86)","0.47 (0.19, 0.92)","0.57 (0.22, 1.16)","0.76 (0.29, 1.54)","1.20 (0.50, 2.39)","2.14 (0.90, 4.06)","2.53 (1.08, 4.94)","2.59 (0.99, 5.17)","503.27 (156.59, 1370.05)"
2454,"Minnehaha County, South Dakota",46099,"0.43 (0.23, 0.71)","0.53 (0.30, 0.88)","0.71 (0.41, 1.14)","0.94 (0.58, 1.45)","1.51 (0.99, 2.25)","3.02 (2.01, 4.26)","4.04 (2.81, 5.52)","4.41 (3.17, 5.90)","937.53 (460.86, 2027.79)"
2455,"Moody County, South Dakota",46101,"0.40 (0.17, 0.78)","0.48 (0.21, 0.92)","0.67 (0.29, 1.27)","0.97 (0.42, 1.91)","1.61 (0.69, 2.91)","3.03 (1.46, 5.53)","3.79 (1.83, 6.85)","3.88 (1.73, 6.97)","862.78 (300.59, 2285.38)"
2456,"Oglala Lakota County, South Dakota",46102,"0.83 (0.35, 1.72)","1.15 (0.49, 2.29)","1.73 (0.80, 3.18)","2.47 (1.16, 4.51)","4.78 (2.38, 8.28)","9.55 (4.96, 15.45)","12.36 (6.80, 19.97)","13.33 (7.57, 21.41)","1513.27 (618.69, 4150.09)"
2457,"Pennington County, South Dakota",46103,"0.63 (0.34, 1.07)","0.78 (0.44, 1.26)","1.07 (0.60, 1.62)","1.48 (0.89, 2.21)","2.58 (1.72, 3.65)","4.45 (3.16, 5.90)","5.97 (4.46, 7.76)","5.96 (4.38, 7.72)","841.66 (412.92, 1765.96)"
2458,"Perkins County, South Dakota",46105,"0.50 (0.21, 1.09)","0.61 (0.28, 1.22)","0.88 (0.37, 1.91)","1.29 (0.55, 2.62)","2.05 (0.93, 3.73)","3.47 (1.70, 6.36)","4.57 (2.39, 7.92)","4.42 (2.27, 7.61)","776.15 (271.08, 2046.74)"
2459,"Potter County, South Dakota",46107,"0.42 (0.18, 0.85)","0.47 (0.22, 0.92)","0.61 (0.25, 1.30)","0.80 (0.31, 1.59)","1.30 (0.56, 2.52)","2.36 (1.08, 4.51)","2.92 (1.30, 5.25)","2.79 (1.16, 5.41)","566.32 (162.81, 1475.34)"
2460,"Roberts County, South Dakota",46109,"0.67 (0.28, 1.26)","0.77 (0.35, 1.49)","1.07 (0.49, 2.10)","1.52 (0.68, 2.88)","2.47 (1.25, 4.34)","4.41 (2.22, 7.74)","5.39 (2.71, 9.09)","5.53 (2.66, 9.76)","728.67 (245.95, 1905.78)"
2461,"Sanborn County, South Dakota",46111,"0.45 (0.20, 0.91)","0.49 (0.21, 0.90)","0.62 (0.26, 1.29)","0.81 (0.33, 1.63)","1.27 (0.55, 2.38)","2.35 (1.07, 4.49)","2.87 (1.31, 5.36)","2.87 (1.26, 5.30)","533.55 (184.11, 1311.59)"
2462,"Spink County, South Dakota",46115,"0.56 (0.24, 1.09)","0.65 (0.29, 1.20)","0.88 (0.42, 1.70)","1.26 (0.58, 2.29)","2.07 (1.07, 3.59)","3.50 (1.85, 5.66)","4.43 (2.28, 7.13)","4.44 (2.22, 7.35)","689.49 (248.67, 1687.82)"
2463,"Stanley County, South Dakota",46117,"0.35 (0.14, 0.76)","0.42 (0.16, 0.89)","0.56 (0.21, 1.17)","0.76 (0.29, 1.64)","1.24 (0.53, 2.51)","2.22 (1.01, 4.19)","2.87 (1.30, 5.23)","2.78 (1.23, 5.29)","685.00 (207.54, 1747.85)"
2464,"Sully County, South Dakota",46119,"0.30 (0.12, 0.63)","0.33 (0.13, 0.69)","0.42 (0.15, 0.91)","0.58 (0.21, 1.30)","0.97 (0.35, 2.10)","1.66 (0.65, 3.54)","2.07 (0.83, 4.41)","1.97 (0.68, 4.32)","550.43 (146.66, 1533.85)"
2465,"Todd County, South Dakota",46121,"0.92 (0.36, 1.89)","1.23 (0.49, 2.43)","1.87 (0.71, 3.87)","2.64 (1.19, 4.92)","5.24 (2.39, 9.85)","9.79 (5.18, 15.95)","12.46 (6.36, 21.12)","13.87 (6.88, 23.66)","1412.36 (486.82, 3888.14)"
2466,"Tripp County, South Dakota",46123,"0.53 (0.21, 0.97)","0.61 (0.26, 1.18)","0.78 (0.34, 1.49)","1.06 (0.44, 2.12)","1.71 (0.80, 3.15)","2.92 (1.41, 5.08)","3.62 (1.68, 6.43)","3.58 (1.65, 6.31)","580.27 (196.92, 1412.18)"
2467,"Turner County, South Dakota",46125,"0.35 (0.14, 0.67)","0.38 (0.16, 0.72)","0.49 (0.21, 0.97)","0.66 (0.27, 1.25)","1.04 (0.45, 2.02)","1.84 (0.84, 3.40)","2.29 (1.03, 4.23)","2.25 (0.91, 4.17)","547.10 (211.45, 1337.72)"
2468,"Union County, South Dakota",46127,"0.49 (0.24, 0.92)","0.57 (0.28, 1.03)","0.76 (0.35, 1.42)","0.96 (0.47, 1.69)","1.52 (0.76, 2.67)","2.66 (1.44, 4.32)","3.38 (1.85, 5.41)","3.55 (1.94, 5.84)","624.18 (249.88, 1533.21)"
2469,"Walworth County, South Dakota",46129,"0.52 (0.22, 1.01)","0.61 (0.28, 1.23)","0.77 (0.34, 1.58)","1.07 (0.47, 2.11)","1.91 (0.82, 3.63)","3.49 (1.63, 6.39)","4.41 (1.93, 7.92)","4.39 (1.89, 8.21)","742.98 (238.46, 1998.80)"
2470,"Yankton County, South Dakota",46135,"0.52 (0.24, 0.93)","0.62 (0.31, 1.10)","0.85 (0.42, 1.53)","1.21 (0.62, 2.08)","1.88 (1.01, 3.10)","3.41 (1.93, 5.37)","4.41 (2.63, 6.85)","4.32 (2.49, 6.73)","730.89 (299.23, 1871.85)"
2471,"Ziebach County, South Dakota",46137,"0.46 (0.16, 1.01)","0.57 (0.20, 1.23)","0.78 (0.29, 1.68)","1.11 (0.44, 2.26)","2.06 (0.81, 4.30)","3.90 (1.62, 7.53)","4.99 (1.98, 9.47)","4.86 (1.87, 9.51)","963.66 (280.46, 2866.80)"
2472,Tennessee,47,"0.84 (0.73, 0.98)","1.12 (1.01, 1.25)","1.74 (1.56, 1.93)","2.65 (2.43, 2.91)","4.94 (4.57, 5.28)","9.43 (8.94, 9.94)","12.95 (12.36, 13.56)","14.20 (13.31, 15.00)","1586.54 (1323.31, 1852.72)"
2473,"Anderson County, Tennessee",47001,"0.95 (0.58, 1.50)","1.12 (0.72, 1.67)","1.89 (1.23, 2.77)","3.27 (2.28, 4.43)","6.19 (4.67, 8.03)","12.73 (10.13, 15.27)","17.21 (14.13, 20.47)","20.04 (16.52, 23.67)","2017.92 (1157.32, 3474.41)"
2474,"Bedford County, Tennessee",47003,"0.47 (0.26, 0.77)","0.68 (0.38, 1.10)","1.19 (0.71, 1.89)","1.86 (1.12, 2.85)","3.50 (2.26, 5.07)","7.18 (5.09, 9.69)","10.74 (7.95, 13.95)","13.65 (9.95, 18.02)","2788.16 (1496.04, 5353.02)"
2475,"Benton County, Tennessee",47005,"0.87 (0.46, 1.54)","1.40 (0.76, 2.26)","2.46 (1.49, 3.74)","4.35 (2.75, 6.52)","8.12 (5.64, 10.97)","15.72 (11.72, 20.44)","23.83 (18.30, 29.62)","28.73 (22.02, 36.00)","3196.83 (1795.03, 5950.11)"
2476,"Bledsoe County, Tennessee",47007,"0.70 (0.36, 1.16)","0.92 (0.49, 1.52)","1.35 (0.70, 2.19)","2.16 (1.26, 3.42)","3.87 (2.43, 5.81)","7.31 (4.84, 10.42)","10.24 (7.05, 13.94)","11.53 (7.79, 15.99)","1547.16 (779.42, 3217.02)"
2477,"Blount County, Tennessee",47009,"0.65 (0.37, 1.01)","1.00 (0.65, 1.51)","1.58 (1.03, 2.32)","2.64 (1.87, 3.64)","4.77 (3.57, 6.12)","9.91 (8.02, 12.05)","16.73 (14.08, 19.49)","15.34 (12.88, 18.19)","2276.00 (1349.51, 4107.63)"
2478,"Bradley County, Tennessee",47011,"0.74 (0.42, 1.24)","1.10 (0.65, 1.70)","1.69 (1.07, 2.45)","2.89 (1.90, 4.09)","4.83 (3.51, 6.21)","9.54 (7.50, 11.89)","15.16 (12.51, 18.17)","16.63 (13.58, 19.79)","2143.99 (1196.58, 3945.52)"
2479,"Campbell County, Tennessee",47013,"0.83 (0.47, 1.36)","1.37 (0.87, 2.08)","2.42 (1.54, 3.59)","4.09 (2.78, 5.64)","8.50 (6.35, 11.13)","16.96 (13.62, 20.67)","24.87 (20.64, 29.62)","30.38 (25.61, 35.84)","3579.78 (2057.05, 6513.82)"
2480,"Cannon County, Tennessee",47015,"0.68 (0.36, 1.10)","0.99 (0.57, 1.55)","1.60 (0.93, 2.45)","2.62 (1.60, 3.88)","5.05 (3.42, 7.16)","9.76 (7.08, 13.07)","14.38 (10.77, 18.77)","17.32 (13.04, 22.07)","2428.16 (1338.46, 4806.17)"
2481,"Carroll County, Tennessee",47017,"0.95 (0.54, 1.57)","1.36 (0.83, 2.10)","2.26 (1.37, 3.54)","3.57 (2.30, 5.27)","6.66 (4.66, 9.08)","11.82 (8.53, 15.42)","15.89 (11.97, 20.34)","17.19 (13.16, 22.02)","1713.14 (897.59, 3242.86)"
2482,"Carter County, Tennessee",47019,"0.88 (0.50, 1.35)","1.23 (0.77, 1.92)","2.04 (1.25, 3.19)","3.27 (2.09, 4.81)","5.54 (4.00, 7.44)","9.13 (6.99, 11.60)","14.56 (11.51, 17.90)","14.15 (11.27, 17.31)","1516.99 (882.59, 2811.99)"
2483,"Cheatham County, Tennessee",47021,"0.54 (0.29, 0.90)","0.84 (0.50, 1.29)","1.49 (0.93, 2.28)","2.50 (1.62, 3.71)","4.88 (3.43, 6.55)","10.25 (7.86, 12.75)","16.17 (12.85, 19.91)","20.82 (16.71, 25.30)","3733.30 (2088.06, 7068.77)"
2484,"Chester County, Tennessee",47023,"0.69 (0.33, 1.16)","0.93 (0.49, 1.57)","1.40 (0.75, 2.30)","2.10 (1.16, 3.41)","3.70 (2.10, 5.88)","6.82 (4.18, 10.07)","9.97 (6.48, 14.58)","10.82 (6.90, 15.88)","1476.79 (752.53, 3147.15)"
2485,"Claiborne County, Tennessee",47025,"0.75 (0.41, 1.22)","1.21 (0.70, 2.02)","2.04 (1.26, 3.07)","3.44 (2.22, 4.92)","6.66 (4.92, 8.99)","13.67 (10.68, 17.02)","20.18 (16.21, 24.68)","24.64 (19.98, 29.81)","3180.08 (1857.71, 5985.01)"
2486,"Clay County, Tennessee",47027,"1.02 (0.55, 1.68)","1.58 (0.91, 2.45)","2.83 (1.69, 4.38)","4.97 (3.08, 7.31)","9.58 (6.63, 13.28)","19.14 (14.03, 25.05)","26.99 (20.29, 34.21)","32.51 (24.86, 41.59)","3075.77 (1710.04, 5972.75)"
2487,"Cocke County, Tennessee",47029,"0.98 (0.56, 1.57)","1.38 (0.85, 2.13)","2.44 (1.53, 3.51)","3.91 (2.57, 5.62)","7.05 (5.08, 9.45)","13.30 (10.39, 16.74)","19.52 (15.61, 24.12)","22.95 (18.20, 28.49)","2234.10 (1261.26, 4127.53)"
2488,"Coffee County, Tennessee",47031,"0.62 (0.35, 0.99)","0.90 (0.55, 1.37)","1.38 (0.85, 2.08)","2.25 (1.45, 3.21)","4.81 (3.46, 6.55)","8.94 (6.68, 11.44)","12.81 (10.07, 16.00)","14.82 (11.61, 18.19)","2306.23 (1326.28, 4198.54)"
2489,"Crockett County, Tennessee",47033,"0.75 (0.38, 1.31)","0.95 (0.51, 1.65)","1.38 (0.75, 2.26)","2.02 (1.17, 3.29)","3.47 (2.07, 5.45)","6.07 (3.74, 9.08)","8.27 (5.29, 12.18)","9.13 (5.63, 13.42)","1124.53 (555.37, 2320.17)"
2490,"Cumberland County, Tennessee",47035,"0.75 (0.41, 1.19)","1.10 (0.67, 1.67)","1.84 (1.18, 2.77)","3.03 (2.02, 4.20)","5.92 (4.32, 7.78)","11.00 (8.52, 13.57)","15.84 (12.94, 19.04)","19.44 (15.91, 23.67)","2482.00 (1440.94, 4697.25)"
2491,"Davidson County, Tennessee",47037,"1.05 (0.68, 1.55)","1.30 (0.90, 1.82)","2.05 (1.39, 2.84)","2.85 (2.05, 3.75)","5.65 (4.49, 6.95)","11.42 (9.61, 13.28)","13.70 (11.82, 15.50)","13.82 (12.01, 15.76)","1219.43 (755.79, 1979.52)"
2492,"DeKalb County, Tennessee",47041,"1.08 (0.62, 1.68)","1.68 (1.03, 2.51)","2.73 (1.72, 4.04)","4.38 (2.91, 6.12)","8.04 (5.86, 10.75)","15.66 (12.18, 19.61)","22.89 (17.96, 28.43)","26.31 (20.71, 32.27)","2327.60 (1392.18, 4115.41)"
2493,"Decatur County, Tennessee",47039,"0.77 (0.38, 1.34)","1.14 (0.64, 1.89)","1.93 (1.11, 3.10)","3.07 (1.92, 4.61)","6.00 (4.00, 8.74)","12.63 (8.82, 17.18)","16.68 (11.91, 21.85)","18.66 (13.22, 24.95)","2323.54 (1170.36, 4796.52)"
2494,"Dickson County, Tennessee",47043,"0.51 (0.26, 0.90)","0.75 (0.42, 1.24)","1.29 (0.76, 2.00)","2.00 (1.29, 2.98)","3.85 (2.54, 5.38)","7.71 (5.63, 10.15)","10.68 (8.27, 13.73)","14.30 (11.12, 18.02)","2687.76 (1445.56, 5554.59)"
2495,"Dyer County, Tennessee",47045,"0.81 (0.44, 1.36)","1.01 (0.61, 1.58)","1.45 (0.86, 2.27)","2.39 (1.51, 3.60)","3.85 (2.59, 5.37)","6.92 (4.78, 9.25)","9.29 (6.85, 12.46)","10.56 (7.82, 13.92)","1204.59 (638.78, 2383.56)"
2496,"Fayette County, Tennessee",47047,"0.58 (0.28, 1.08)","0.81 (0.39, 1.44)","1.21 (0.64, 2.08)","1.69 (0.92, 2.80)","2.82 (1.69, 4.23)","5.68 (3.74, 7.96)","7.09 (4.93, 9.53)","7.19 (5.07, 9.96)","1146.09 (569.74, 2500.93)"
2497,"Fentress County, Tennessee",47049,"1.12 (0.57, 1.93)","1.73 (1.04, 2.75)","3.04 (1.87, 4.55)","4.88 (3.12, 7.11)","9.03 (6.18, 12.48)","17.31 (12.93, 22.03)","24.36 (19.18, 30.03)","24.43 (18.70, 30.18)","2090.45 (1187.68, 4059.63)"
2498,"Franklin County, Tennessee",47051,"0.69 (0.39, 1.13)","0.97 (0.58, 1.51)","1.56 (1.01, 2.34)","2.54 (1.70, 3.64)","4.98 (3.55, 6.62)","9.40 (7.17, 12.12)","13.66 (10.59, 16.91)","16.86 (13.36, 20.53)","2334.22 (1349.92, 4287.21)"
2499,"Gibson County, Tennessee",47053,"1.18 (0.68, 1.90)","1.43 (0.87, 2.17)","2.11 (1.35, 3.13)","2.92 (1.91, 4.14)","4.64 (3.23, 6.26)","8.26 (6.00, 11.15)","10.82 (8.15, 14.00)","11.81 (8.58, 15.61)","901.15 (442.26, 1774.11)"
2500,"Giles County, Tennessee",47055,"0.56 (0.27, 0.95)","0.84 (0.46, 1.31)","1.42 (0.81, 2.34)","2.33 (1.39, 3.56)","4.19 (2.71, 6.00)","8.35 (5.96, 11.09)","13.27 (9.98, 17.07)","14.28 (10.75, 18.31)","2444.94 (1357.90, 5072.29)"
2501,"Grainger County, Tennessee",47057,"0.84 (0.46, 1.31)","1.30 (0.76, 1.95)","2.37 (1.45, 3.53)","3.79 (2.42, 5.56)","7.21 (5.17, 9.71)","14.85 (11.30, 18.81)","20.05 (15.52, 24.95)","21.33 (16.56, 26.55)","2451.62 (1478.55, 4622.72)"
2502,"Greene County, Tennessee",47059,"0.78 (0.43, 1.27)","1.06 (0.64, 1.63)","1.66 (1.03, 2.52)","2.87 (1.88, 4.06)","4.68 (3.30, 6.42)","8.35 (6.18, 10.98)","13.23 (10.33, 16.49)","15.81 (12.61, 19.63)","1928.74 (1121.27, 3673.32)"
2503,"Grundy County, Tennessee",47061,"1.14 (0.64, 1.85)","1.82 (1.04, 2.85)","3.08 (1.89, 4.68)","4.72 (2.96, 6.82)","8.43 (5.61, 11.84)","15.99 (11.64, 20.95)","22.09 (16.29, 28.91)","25.99 (19.11, 33.99)","2176.62 (1239.26, 4106.15)"
